id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
111305,1248,Tekken Card Challenge,"The story mode plays on a 15x15 grid map covered with shrines, villages, and impassible mountains. You will only have a certain number of steps to make it to stage exit or you'll lose. Of course this Harshadic field is populated with a grave propensity of villains. Roving in the dark, for all the area of the world is obscured by 'fog' until the player walks there, are mysterious stormtroopers called Crow, Owl, Eagle. Also wandering the land are Tekken characters who hold long standing grudges against the player's character. Above it all in a high tower is the heinous Ogre, can he be defeated?  Along the way cards can be found that will increase the amount of moves that can be performed in combat. Sacred ziggurats exist, two per map, that will heal wounds and, if enough enemies have been defeated since the last shrine, a new form of attack card be obtained. These shrines may not be reentered.",1999-06-17 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
111531,63983,Simple 1500 Series Vol. 14: The Block Kuzushi,"Block Buster is back, and better than ever! Bringing a horde of new systems, including the powerful 'Squash Ball' and 'Wall Shake'. Two players can go head-to-head. Steal your opponent's ball and carve out your name with it! New levels bring life into this famous old arcade classic.  Features:  - First person perspective. - 2D graphics - Cartoon graphics - SCI-FI & Futuristic themes.",1999-08-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111578,44735,Interplay Sports Baseball 2000,NULL,1999-04-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111812,24700,Braveheart,"Compete for the loyalty of William Wallace, Robert The Bruce and dozens of other Scottish heroes. Guide your people to prosperity, form alliances, undermine enemies, participate in castle sieges and ambushes or wreak havoc on rival towns. Lead hundreds of warriors in open battles to defeat the English King and take his crown. The future of Scotland is in your hands.",1999-08-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111939,50309,YSFlight,NULL,1999-04-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112015,187876,Banco Imobiliário 2000,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112021,8788,Interstate '82,NULL,1999-11-22 00:00:00.000,3,NULL,60.0000,1,78.9478,6
112478,39416,The Legend of Silkroad,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112502,84317,Silver Jiken,"""1999 - the ""24 Wards"". A string of mysterious serial killings plagues the city. The detectives of the 24 Wards Heinous Crimes Unit have their eyes on one man: Kamui Uehara, legendary serial killer and assassin of a number of government officials 20 years prior in the now-famous ""Silver Case"". However, nobody knows the true identity of Kamui.  Has he really returned? Who is this infamous serial killer?""",1999-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112544,56733,Pachi-Slot Aruze Ōkoku Pocket: Hanabi,NULL,1999-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112551,44741,Power Shovel,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112626,2533,World War II GI,NULL,1999-03-01 00:00:00.000,1,NULL,NULL,NULL,40.0000,1
112644,64858,Dancing Blade Katteni Momotenshi II: Tears of Eden,NULL,1999-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112663,39797,Pilot Kids,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112796,93917,Planet DOB,An alien flying above Earth gets knocked unconscious after his ship crashes while avoiding a giant net. Scientists strap his passed out frame on a table and send a very unwilling subject (his glasses are shaped in the letters Y-O-U) into his mind to see what makes him tick.,1999-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113373,1859,Force 21,NULL,1999-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113419,44830,Championship Motocross featuring Ricky Carmichael,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113484,50906,Blue's 123 Time Activities,NULL,1999-04-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113508,4106,Monster Rancher 2,"This game involves raising, fighting, and breeding monsters. The main character is never seen on screen and never talks to anyone directly. Instead, all of the dialog and action is done by the trainer's assistant Colt and her toucan Joy. The player chooses his actions and choices through menu options.",1999-02-25 00:00:00.000,2,NULL,NULL,NULL,70.5119,10
113535,26184,Cutthroats: Terror on the High Seas,NULL,1999-09-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
113604,52753,Red Comrades: For the Great Justice,"Wounded Red Army commander Chapaev tries to cross the Ural river, but he catches enemy'a bullet...",1999-09-30 00:00:00.000,NULL,NULL,NULL,NULL,52.0080,6
113625,69870,Finger Flashing,NULL,1999-07-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113640,77791,You Don't Know Jack: Offline,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
113816,8458,Beavis and Butt-head Do U,NULL,1999-03-07 00:00:00.000,NULL,NULL,54.0000,1,NULL,NULL
113838,43691,NCAA GameBreaker 2000,NULL,1999-09-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113844,37454,Tetsuman,NULL,1999-08-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114025,39891,Ganryu,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114039,45862,Elemental Gimmick Gear,"In the world of Tokion, a dome-shaped ancient ruin was discovered inside a thick jungle. During excavation, an egg-shaped mecha was found inside the ruins containing a sleeping man. No matter how hard scientists tried, he would not wake up. He was taken to a laboratory along with the machine to be further studied.    Upon analyzing the machine, they learned that it was over 5000 years old. They also could not find any form of power source. In time, the machine became known as ""Elemental Gimmick Gear"", or EGG for short. After extensive scientific analysis over a number of years, copies of the EGG were produced and used as vehicles.    100 years later, the ruin suddenly became active, extending a multitude of tentacles into the ground. They spread all across the land, destroying anything in their way. With the tentacles came a thick layer of fog that surrounded the ruins, and people gave them the name Fogna.    At the same time, the Sleeper who was discovered a century prior finally awoke. He had not aged a day since his discovery and had no memory of his past or his own name. Selen, who was with him as he woke, set him free without notifying the other scientists in the lab. She sent him to Fogna to begin searching for clues of what happened 5100 years ago, and to stop the tentacles' breeding.",1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114189,45852,Jimmy White's 2: Cueball,NULL,1999-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114469,49888,Jeff Gordon XS Racing,NULL,1999-05-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114472,24798,Zombie Revenge,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
